airline,from,to,route,price,duration_in_min,stops,class_category,day,month,dep_hour,arr_hour
IndiGo,Delhi,Kolkata,Delhi-Bangalore,4880.555060158447,60.0,1,Economy,21,11,18,12
GoAir,Delhi,Bangalore,Delhi-Bangalore,6294.119434393137,150.37912228932214,0,Economy,1,12,18,18
GoAir,Delhi,Chennai,Mumbai-Kolkata,4319.9787938787,115.25538466883039,1,Economy,27,11,18,12
Vistara,Delhi,Mumbai,Mumbai-Kolkata,6500.406413464829,217.29278908784198,0,Business,19,7,22,21
SpiceJet,Delhi,Hyderabad,Delhi-Bangalore,6708.1851863911925,189.2374875184833,0,Economy,29,10,3,20
SpiceJet,Mumbai,Kolkata,Delhi-Bangalore,5526.115235478357,114.5565279225745,0,Economy,28,5,19,3
Vistara,Delhi,Hyderabad,Delhi-Bangalore,6098.838156764466,116.80988992406056,2,Business,1,1,18,23
Vistara,Delhi,Bangalore,Delhi-Hyderabad,7563.3259470002295,149.8674454200609,1,Economy,4,6,9,1
Vistara,Mumbai,Hyderabad,Mumbai-Kolkata,5595.402636590451,171.09517829754114,0,Economy,10,12,1,14
IndiGo,Mumbai,Bangalore,Delhi-Bangalore,5152.87393035472,70.85912827691949,0,Economy,3,8,3,11
SpiceJet,Delhi,Hyderabad,Mumbai-Chennai,7185.330721970079,66.4087360393594,0,Economy,27,7,23,6
IndiGo,Delhi,Mumbai,Mumbai-Chennai,7570.069752424636,101.33895583336856,2,Economy,20,2,5,19
Vistara,Mumbai,Mumbai,Delhi-Hyderabad,6002.956537478278,137.48212749521593,1,Business,9,12,6,17
SpiceJet,Mumbai,Mumbai,Delhi-Hyderabad,6809.170428326685,134.9062077152279,0,Economy,3,5,15,22
IndiGo,Mumbai,Mumbai,Delhi-Mumbai,7073.180732424705,152.0931436495155,0,Economy,28,11,6,12
IndiGo,Delhi,Mumbai,Delhi-Mumbai,5406.012613969293,84.00907414904076,0,Business,6,4,17,16
Vistara,Mumbai,Mumbai,Delhi-Mumbai,5611.755331705705,60.0,2,Economy,6,9,19,3
SpiceJet,Mumbai,Bangalore,Delhi-Hyderabad,6984.699610523788,145.74042585906437,0,Economy,23,10,21,13
Vistara,Delhi,Kolkata,Delhi-Hyderabad,7348.011422966808,95.15411181104297,1,Economy,25,1,18,19
SpiceJet,Mumbai,Hyderabad,Delhi-Hyderabad,6450.304688139484,60.0,0,Economy,12,12,8,12
GoAir,Mumbai,Mumbai,Mumbai-Chennai,5296.148517198357,124.35191237878145,1,Economy,23,6,19,2
AirAsia,Mumbai,Bangalore,Delhi-Hyderabad,7589.648889359553,143.7952706465603,1,Economy,30,3,9,17
AirAsia,Delhi,Bangalore,Mumbai-Chennai,5575.223281750428,116.33828603636168,1,Economy,1,11,12,13
AirAsia,Delhi,Bangalore,Delhi-Mumbai,5731.889775062838,106.26454841452532,1,Economy,16,9,17,14
Vistara,Delhi,Kolkata,Delhi-Mumbai,6273.8702675916975,115.2191330356228,1,Economy,31,5,15,2
GoAir,Delhi,Hyderabad,Delhi-Mumbai,7243.328336571819,108.88251712797651,0,Economy,24,6,21,0
SpiceJet,Delhi,Kolkata,Delhi-Bangalore,6683.180781241779,79.55858664179499,0,Economy,5,11,16,23
IndiGo,Delhi,Chennai,Delhi-Bangalore,6331.892400289528,98.55957969028705,0,Economy,9,9,21,16
SpiceJet,Mumbai,Bangalore,Mumbai-Kolkata,6370.630824094485,135.63839715041445,2,Economy,10,9,12,2
IndiGo,Mumbai,Chennai,Mumbai-Kolkata,6034.811734914773,129.65035624129501,0,Business,13,8,11,13
SpiceJet,Delhi,Mumbai,Mumbai-Kolkata,6446.511611614805,125.04179417900461,1,Economy,15,9,9,2
GoAir,Delhi,Mumbai,Delhi-Bangalore,3976.3519378445576,90.14554554439862,1,Economy,12,4,0,12
IndiGo,Delhi,Kolkata,Delhi-Bangalore,5762.714032744161,114.55490513592999,0,Economy,5,6,7,14
Vistara,Delhi,Hyderabad,Mumbai-Kolkata,6193.057547933425,60.0,0,Economy,5,5,20,17
SpiceJet,Delhi,Chennai,Mumbai-Kolkata,5079.1887331043945,125.35429991656169,0,Economy,31,5,21,13
SpiceJet,Delhi,Hyderabad,Delhi-Hyderabad,6309.058654249248,162.865731234407,0,Economy,28,4,17,20
IndiGo,Mumbai,Kolkata,Mumbai-Kolkata,5836.423023211103,75.77603603873683,0,Business,28,2,1,2
Vistara,Mumbai,Mumbai,Delhi-Hyderabad,7404.380558652392,102.42216980046734,0,Economy,30,12,15,18
Vistara,Delhi,Hyderabad,Mumbai-Chennai,7258.415780171886,129.8732033613039,1,Economy,18,6,11,7
GoAir,Delhi,Hyderabad,Delhi-Bangalore,5627.35554470547,157.58527903282453,2,Economy,12,9,8,3
Vistara,Delhi,Mumbai,Mumbai-Kolkata,5879.329830746644,106.55326151099551,0,Economy,27,12,2,3
Vistara,Delhi,Chennai,Delhi-Bangalore,5940.841947513286,99.23249012202311,0,Economy,3,1,21,18
Vistara,Delhi,Mumbai,Delhi-Bangalore,5638.672419072302,60.93230572751751,0,Economy,26,7,20,10
AirAsia,Delhi,Hyderabad,Delhi-Bangalore,6156.019987222501,123.10314387924319,1,Business,25,6,3,0
GoAir,Delhi,Chennai,Mumbai-Chennai,5393.374344889928,181.26228120431233,1,Economy,7,3,1,7
SpiceJet,Delhi,Chennai,Delhi-Mumbai,5095.507732049979,128.32075385894026,0,Economy,17,1,7,14
IndiGo,Delhi,Mumbai,Mumbai-Kolkata,6498.168979120215,119.3316306244886,0,Economy,19,4,9,0
SpiceJet,Delhi,Hyderabad,Delhi-Mumbai,6503.623667377448,129.66246932300956,1,Economy,28,9,15,6
GoAir,Delhi,Kolkata,Delhi-Mumbai,5356.547392272006,119.66723988154193,1,Economy,18,2,22,20
IndiGo,Mumbai,Hyderabad,Delhi-Mumbai,6716.28434461008,95.6095688321961,0,Economy,1,3,10,19
GoAir,Delhi,Bangalore,Delhi-Bangalore,5494.7378166677345,144.69839747033117,1,Economy,25,2,17,19
Vistara,Mumbai,Kolkata,Delhi-Hyderabad,6202.532190430385,126.77284569335264,0,Economy,24,2,21,23
IndiGo,Delhi,Chennai,Delhi-Bangalore,6656.275210089965,120.52839755800971,0,Economy,31,10,13,10
Vistara,Delhi,Kolkata,Delhi-Bangalore,5973.109948237029,90.7390191816525,1,Economy,5,11,7,13
SpiceJet,Mumbai,Chennai,Delhi-Mumbai,6363.792729712908,159.10523795804278,1,Business,27,11,22,21
SpiceJet,Mumbai,Chennai,Delhi-Bangalore,5586.856284889943,139.9410823599933,0,Economy,28,8,14,15
IndiGo,Delhi,Kolkata,Delhi-Mumbai,5842.826733257522,103.41237487898094,2,Economy,2,3,16,13
IndiGo,Mumbai,Chennai,Delhi-Hyderabad,5835.312455295728,150.05474561045813,0,Business,1,7,20,11
GoAir,Delhi,Chennai,Mumbai-Kolkata,5402.737322767809,105.07287484844379,1,Economy,7,8,17,16
GoAir,Delhi,Bangalore,Delhi-Mumbai,5858.580669507374,96.5398952246689,0,Economy,29,3,5,13
Vistara,Mumbai,Hyderabad,Delhi-Hyderabad,4761.105360909002,97.20890647559139,1,Economy,11,2,22,9
IndiGo,Mumbai,Hyderabad,Mumbai-Kolkata,5607.077002286316,66.86794340735726,2,Economy,11,8,13,23
SpiceJet,Mumbai,Bangalore,Mumbai-Chennai,5772.099605304264,134.14627141254618,0,Economy,31,3,22,13
GoAir,Delhi,Kolkata,Delhi-Mumbai,5795.0561980036955,65.0656536498495,2,Economy,18,7,2,17
GoAir,Delhi,Mumbai,Delhi-Mumbai,5806.802043303377,83.14668506202712,1,Economy,17,12,6,21
SpiceJet,Mumbai,Mumbai,Mumbai-Chennai,5950.588640111897,60.0,1,Economy,2,1,14,8
GoAir,Delhi,Mumbai,Mumbai-Chennai,6383.553214468851,117.4179092162732,0,Economy,7,12,20,16
Vistara,Mumbai,Bangalore,Delhi-Mumbai,6699.613659306018,115.49038619184384,1,Economy,7,6,23,5
IndiGo,Delhi,Bangalore,Mumbai-Chennai,5480.187818521386,110.19911360440908,1,Economy,10,12,15,7
SpiceJet,Mumbai,Chennai,Delhi-Bangalore,5037.4393156886845,88.72266915988271,0,Economy,22,12,15,12
IndiGo,Delhi,Mumbai,Mumbai-Kolkata,5166.364470205518,84.8329873969008,2,Economy,21,9,7,17
GoAir,Mumbai,Kolkata,Mumbai-Kolkata,5610.2376630440585,133.93109590639722,0,Economy,3,12,6,4
GoAir,Delhi,Kolkata,Mumbai-Kolkata,5718.462945746793,103.48344204874537,0,Economy,30,3,5,5
SpiceJet,Delhi,Mumbai,Delhi-Bangalore,5384.0031470420345,129.49074964608434,0,Economy,12,7,1,20
Vistara,Delhi,Mumbai,Mumbai-Chennai,4963.106668600084,93.44253941627332,0,Economy,3,6,21,18
AirAsia,Delhi,Mumbai,Delhi-Hyderabad,5635.103338020649,125.43188228313247,1,Economy,11,8,12,3
SpiceJet,Delhi,Bangalore,Mumbai-Chennai,6145.1412960911775,159.09834111948192,0,Economy,29,3,11,6
AirAsia,Delhi,Bangalore,Delhi-Mumbai,6476.023572668451,137.5849740117835,2,Business,12,3,14,3
AirAsia,Delhi,Bangalore,Mumbai-Kolkata,5554.061557513343,107.62758545350559,0,Economy,25,4,8,10
Vistara,Mumbai,Hyderabad,Mumbai-Chennai,5669.601742285253,127.71596911067782,0,Economy,4,3,1,11
AirAsia,Delhi,Kolkata,Delhi-Hyderabad,5258.641352922152,112.7800447640936,0,Economy,25,9,16,13
AirAsia,Mumbai,Kolkata,Delhi-Mumbai,5974.848663700179,120.23640554084184,0,Economy,16,11,4,12
Vistara,Delhi,Chennai,Delhi-Bangalore,5321.257092647348,110.23166843554488,2,Economy,20,4,10,9
AirAsia,Delhi,Bangalore,Delhi-Bangalore,6458.50225059296,115.06994382343825,1,Economy,18,6,21,17
AirAsia,Mumbai,Hyderabad,Delhi-Hyderabad,4571.3068064527115,126.36280059222527,1,Economy,31,8,18,15
AirAsia,Delhi,Hyderabad,Delhi-Mumbai,5712.29626203803,90.19923901254148,0,Business,4,11,23,4
SpiceJet,Delhi,Kolkata,Mumbai-Kolkata,6240.885871353394,89.52363519030065,0,Economy,22,8,6,7
SpiceJet,Delhi,Bangalore,Mumbai-Chennai,6147.067613058003,78.34372338506367,0,Economy,6,5,1,13
SpiceJet,Mumbai,Chennai,Delhi-Mumbai,8154.426931184397,71.9918668648887,0,Economy,21,5,15,4
Vistara,Mumbai,Bangalore,Delhi-Bangalore,6279.840019654326,83.48151923338563,0,Business,31,6,11,23
GoAir,Mumbai,Mumbai,Delhi-Hyderabad,5196.756322526392,124.78387520412387,1,Economy,15,10,22,7
AirAsia,Delhi,Bangalore,Delhi-Hyderabad,5923.628602328741,93.21637453524347,0,Economy,1,7,14,5
AirAsia,Delhi,Mumbai,Mumbai-Chennai,4579.002933226839,135.4084339269329,1,Business,3,10,0,15
Vistara,Delhi,Mumbai,Delhi-Hyderabad,5935.5202005625915,121.04141246257686,0,Economy,5,7,12,3
AirAsia,Delhi,Chennai,Delhi-Hyderabad,5333.555154399393,60.944873596858386,0,Economy,22,4,22,11
SpiceJet,Mumbai,Kolkata,Delhi-Mumbai,6732.31222044813,139.6492675266507,1,Economy,30,6,5,10
GoAir,Delhi,Bangalore,Mumbai-Kolkata,5560.367780323572,144.32395936775129,0,Economy,17,7,12,2
IndiGo,Mumbai,Mumbai,Mumbai-Chennai,5906.587267363802,90.1841197549544,1,Economy,30,5,17,11
AirAsia,Delhi,Bangalore,Delhi-Mumbai,5491.553726876477,132.60574628684975,1,Economy,14,5,2,4
SpiceJet,Delhi,Kolkata,Mumbai-Kolkata,7391.0810814826655,94.30505287772404,0,Economy,9,2,0,5
IndiGo,Delhi,Kolkata,Delhi-Mumbai,5743.005787105671,122.93011130245006,2,Economy,30,7,14,18
GoAir,Mumbai,Hyderabad,Delhi-Mumbai,7466.0456347833615,82.06504779135103,0,Economy,3,12,12,17
IndiGo,Delhi,Kolkata,Delhi-Hyderabad,6651.321409694613,66.20680642396269,0,Economy,26,6,4,15
SpiceJet,Delhi,Chennai,Mumbai-Kolkata,6385.653381868309,108.51548431161093,1,Economy,13,11,12,22
IndiGo,Delhi,Mumbai,Mumbai-Chennai,6294.986517854016,116.28813161175492,0,Economy,3,1,21,10
Vistara,Mumbai,Hyderabad,Mumbai-Chennai,6315.037838573001,108.06960919156188,1,Economy,11,4,4,4
IndiGo,Delhi,Chennai,Mumbai-Kolkata,4457.861936523512,84.47908325332321,1,Economy,2,3,18,8
AirAsia,Delhi,Bangalore,Delhi-Hyderabad,5776.893284679395,108.0030281360659,2,Economy,24,12,20,2
AirAsia,Mumbai,Mumbai,Delhi-Bangalore,6676.126376947457,128.07884257742202,0,Economy,15,3,23,7
Vistara,Delhi,Kolkata,Delhi-Mumbai,5960.882253220716,118.65320909632389,0,Economy,13,7,17,5
SpiceJet,Delhi,Mumbai,Delhi-Hyderabad,4875.8481225571395,125.4750309179764,1,Business,19,11,20,3
AirAsia,Delhi,Bangalore,Mumbai-Kolkata,5958.076439538025,99.896543986373,0,Economy,22,12,21,11
GoAir,Delhi,Hyderabad,Delhi-Mumbai,7363.284413004393,155.1515374414848,0,Economy,16,10,9,11
AirAsia,Delhi,Hyderabad,Mumbai-Chennai,6997.513372427776,84.71479990335658,0,Economy,18,4,23,20
AirAsia,Delhi,Hyderabad,Delhi-Bangalore,5950.396792507175,134.62680891260155,0,Economy,7,12,7,15
SpiceJet,Delhi,Kolkata,Mumbai-Chennai,6761.159421646469,155.45673278879886,0,Economy,13,8,14,9
IndiGo,Delhi,Chennai,Mumbai-Kolkata,5706.794383705558,134.42724278246686,1,Economy,4,11,20,21
AirAsia,Mumbai,Chennai,Delhi-Mumbai,4636.902730538625,113.9242731880551,1,Business,9,9,19,13
Vistara,Mumbai,Mumbai,Mumbai-Kolkata,5260.427209496356,104.15108860011063,0,Economy,30,3,22,12
IndiGo,Mumbai,Kolkata,Delhi-Mumbai,7250.311014806558,151.08262953138768,0,Economy,10,5,21,8
GoAir,Delhi,Hyderabad,Delhi-Hyderabad,5780.8055345365565,77.3107522421498,0,Economy,9,4,3,6
SpiceJet,Delhi,Hyderabad,Delhi-Bangalore,5805.292816499986,90.8962721886107,1,Economy,7,12,1,11
GoAir,Delhi,Bangalore,Delhi-Hyderabad,5760.1294429800955,108.07326703524836,0,Business,15,10,23,4
IndiGo,Delhi,Bangalore,Delhi-Hyderabad,7523.309271658405,157.12961272535995,1,Economy,28,6,5,17
IndiGo,Mumbai,Hyderabad,Mumbai-Kolkata,7300.76713228965,131.39302908122687,0,Economy,8,11,2,3
IndiGo,Mumbai,Hyderabad,Delhi-Bangalore,7775.024186758507,90.95862724469264,1,Economy,19,10,6,1
GoAir,Mumbai,Kolkata,Delhi-Mumbai,5872.763831679959,110.6907688384529,0,Economy,11,4,9,2
IndiGo,Delhi,Chennai,Delhi-Mumbai,6236.499590997676,101.57030567711116,1,Economy,5,8,22,11
GoAir,Delhi,Bangalore,Mumbai-Chennai,4786.685960463367,98.70633023299395,0,Economy,2,3,5,2
IndiGo,Delhi,Chennai,Delhi-Mumbai,7181.5475408946195,149.36668675670336,1,Economy,10,11,15,3
Vistara,Mumbai,Kolkata,Mumbai-Kolkata,5065.776358985652,78.84770612209483,0,Economy,16,5,1,5
IndiGo,Mumbai,Hyderabad,Delhi-Hyderabad,6173.4204510101035,168.2634256720312,1,Economy,23,1,23,11
GoAir,Mumbai,Chennai,Delhi-Hyderabad,5122.157977893725,144.84689070553867,1,Economy,13,6,16,18
AirAsia,Mumbai,Hyderabad,Delhi-Hyderabad,5528.906538609043,152.72585011811094,0,Economy,8,11,12,9
IndiGo,Delhi,Hyderabad,Delhi-Bangalore,5330.190055160239,106.11181463924225,1,Economy,9,5,0,0
AirAsia,Delhi,Mumbai,Delhi-Mumbai,5513.699791459346,115.50177842762672,0,Economy,11,8,5,16
Vistara,Mumbai,Chennai,Mumbai-Kolkata,5568.701837480817,77.00544556425864,0,Economy,11,9,4,15
SpiceJet,Delhi,Chennai,Delhi-Bangalore,5561.384964059938,104.26012778799591,0,Economy,23,8,12,8
Vistara,Delhi,Hyderabad,Mumbai-Chennai,6666.667129424246,134.80964542929453,0,Economy,26,8,22,20
IndiGo,Mumbai,Kolkata,Mumbai-Kolkata,5116.109765549984,158.88189185344189,1,Business,31,12,17,8
AirAsia,Delhi,Mumbai,Mumbai-Kolkata,6176.433141611094,86.78529549592645,1,Economy,16,3,11,22
AirAsia,Delhi,Hyderabad,Mumbai-Kolkata,6974.367321844446,109.03482189044202,0,Economy,10,4,6,8
GoAir,Delhi,Bangalore,Delhi-Hyderabad,5589.442908389283,115.46102339302433,0,Economy,29,11,14,11
AirAsia,Delhi,Bangalore,Mumbai-Kolkata,5425.664887401918,78.12632393422544,1,Economy,24,4,2,22
GoAir,Delhi,Mumbai,Delhi-Mumbai,5815.580299855799,137.74047725275202,2,Economy,12,11,15,8
SpiceJet,Delhi,Kolkata,Mumbai-Kolkata,6943.780166688568,98.28029004772173,0,Business,25,5,0,14
IndiGo,Mumbai,Hyderabad,Delhi-Hyderabad,6155.286104762687,114.13828946468928,2,Economy,6,9,15,1
GoAir,Delhi,Chennai,Mumbai-Kolkata,5575.028564313921,106.44151884264367,0,Business,28,12,23,10
SpiceJet,Delhi,Mumbai,Mumbai-Chennai,6387.101320950432,96.31984482840977,0,Economy,12,9,11,10
AirAsia,Delhi,Kolkata,Mumbai-Chennai,5118.166280130861,119.78865043558336,1,Economy,10,10,18,7
AirAsia,Delhi,Chennai,Delhi-Hyderabad,6545.087608354358,113.53171264295933,0,Economy,18,12,7,22
SpiceJet,Mumbai,Bangalore,Delhi-Mumbai,6326.885846161414,108.84426353164004,0,Economy,18,1,22,5
AirAsia,Mumbai,Bangalore,Delhi-Mumbai,5753.753223088893,98.14615134958972,0,Economy,4,8,11,20
SpiceJet,Delhi,Chennai,Delhi-Bangalore,5329.1313612422155,129.58574012348868,1,Business,31,1,14,19
GoAir,Delhi,Mumbai,Delhi-Hyderabad,5290.655262173234,169.60851805476855,1,Business,9,2,1,6
GoAir,Delhi,Bangalore,Mumbai-Kolkata,6427.853869076728,124.19661698517382,0,Business,7,7,16,2
SpiceJet,Mumbai,Hyderabad,Delhi-Hyderabad,6983.18440199125,149.88354644733386,0,Economy,18,8,6,7
GoAir,Delhi,Chennai,Delhi-Bangalore,5490.153802376964,78.29334224539612,0,Economy,8,1,12,17
GoAir,Mumbai,Chennai,Delhi-Hyderabad,6366.709362841188,124.73284317881308,0,Economy,11,3,0,16
GoAir,Delhi,Bangalore,Delhi-Hyderabad,4330.378385118345,87.078950430868,0,Economy,7,7,5,10
Vistara,Delhi,Mumbai,Delhi-Bangalore,5532.30581547424,75.69225217404296,1,Economy,9,9,12,1
IndiGo,Delhi,Hyderabad,Delhi-Mumbai,5975.152853703278,97.81885777622891,0,Economy,8,8,10,20
AirAsia,Mumbai,Mumbai,Mumbai-Kolkata,5272.253266414533,155.75698003240717,0,Economy,3,8,9,23
Vistara,Mumbai,Kolkata,Delhi-Bangalore,5250.794900168324,148.50047486008935,0,Economy,17,9,15,18
GoAir,Delhi,Kolkata,Mumbai-Chennai,5465.776354824891,127.29014166163199,0,Economy,2,10,23,6
SpiceJet,Delhi,Bangalore,Delhi-Mumbai,6233.754182661099,74.01898320330207,2,Economy,15,3,22,17
GoAir,Delhi,Bangalore,Mumbai-Chennai,5850.1367852749,114.1115804583619,0,Economy,14,8,19,7
IndiGo,Delhi,Bangalore,Delhi-Mumbai,4209.415013340023,129.05100026705207,0,Economy,29,1,16,13
GoAir,Mumbai,Kolkata,Mumbai-Kolkata,4303.439877891947,125.26608688735794,0,Economy,18,8,16,6
SpiceJet,Delhi,Mumbai,Mumbai-Kolkata,5514.507857714259,64.68619249557763,0,Economy,16,7,3,20
IndiGo,Delhi,Mumbai,Delhi-Hyderabad,6366.149268842842,93.29046455940384,0,Economy,20,8,4,3
GoAir,Mumbai,Bangalore,Mumbai-Chennai,3801.9961258198123,118.0776670755385,0,Economy,22,1,22,16
IndiGo,Delhi,Hyderabad,Delhi-Mumbai,5600.215859078696,136.0887272855157,0,Economy,4,6,13,4
AirAsia,Mumbai,Mumbai,Mumbai-Kolkata,5579.0017147860635,60.0,0,Economy,25,7,19,11
AirAsia,Mumbai,Kolkata,Delhi-Bangalore,7110.670222566759,115.13628073560425,0,Economy,20,11,9,8
GoAir,Mumbai,Chennai,Mumbai-Kolkata,5691.982550629709,124.29146309636857,0,Economy,6,5,13,19
IndiGo,Delhi,Chennai,Delhi-Bangalore,6306.391187792743,145.4883596554864,2,Economy,6,5,0,12
SpiceJet,Delhi,Chennai,Delhi-Mumbai,6113.00571206997,140.7857275271231,0,Economy,26,7,10,17
GoAir,Mumbai,Hyderabad,Mumbai-Kolkata,4295.546816154239,137.47713956426415,0,Economy,11,11,22,19
AirAsia,Delhi,Bangalore,Mumbai-Kolkata,6614.5657733053895,96.00178479894197,0,Economy,26,3,17,8
AirAsia,Delhi,Kolkata,Delhi-Mumbai,6172.31720436503,62.759935886300774,0,Economy,17,6,15,3
GoAir,Mumbai,Hyderabad,Mumbai-Kolkata,6406.614911739672,108.20841728815797,1,Economy,24,7,17,20
IndiGo,Delhi,Kolkata,Delhi-Bangalore,9140.990165149062,150.0489547562568,0,Economy,28,1,7,7
AirAsia,Delhi,Kolkata,Mumbai-Kolkata,4332.709648401129,161.80363582573295,1,Economy,3,12,9,0
IndiGo,Delhi,Bangalore,Mumbai-Chennai,7379.757319808887,141.31647306893356,0,Economy,31,2,9,16
AirAsia,Delhi,Chennai,Delhi-Hyderabad,5770.041984479715,132.88022468405202,0,Economy,13,12,4,8
AirAsia,Mumbai,Bangalore,Delhi-Bangalore,6229.8631235224075,131.38918945157897,1,Business,22,4,9,19
Vistara,Mumbai,Hyderabad,Mumbai-Chennai,5963.590203759006,103.31643759717659,0,Economy,3,8,17,12
AirAsia,Delhi,Hyderabad,Delhi-Mumbai,5660.610933281565,116.0981911933914,0,Economy,16,11,20,1
SpiceJet,Mumbai,Hyderabad,Delhi-Bangalore,5544.133657408993,170.07208577478994,0,Economy,15,10,23,12
GoAir,Mumbai,Bangalore,Delhi-Hyderabad,6263.606988458408,91.7232598262437,1,Economy,11,6,5,8
GoAir,Delhi,Kolkata,Delhi-Hyderabad,4786.261042662657,168.44336372129555,0,Economy,18,1,2,19
IndiGo,Delhi,Kolkata,Delhi-Mumbai,6600.463334017412,110.33915536523824,1,Economy,15,10,7,5
AirAsia,Delhi,Mumbai,Delhi-Mumbai,5667.044476091797,159.76296327285235,0,Economy,5,5,8,0
SpiceJet,Delhi,Hyderabad,Delhi-Bangalore,5095.944528767714,77.79554971507385,1,Business,16,7,4,4
IndiGo,Mumbai,Kolkata,Mumbai-Kolkata,5639.989713603349,137.57712603493948,0,Economy,30,6,1,2
Vistara,Delhi,Mumbai,Delhi-Mumbai,7005.719373490058,97.89689592157134,1,Economy,16,12,1,3
IndiGo,Mumbai,Kolkata,Mumbai-Kolkata,5571.731930387022,77.54198424227438,0,Business,17,9,6,0
IndiGo,Delhi,Hyderabad,Mumbai-Chennai,6286.762894567696,126.55602127232837,2,Economy,9,8,16,13
AirAsia,Delhi,Chennai,Delhi-Hyderabad,5415.2349794276215,150.28415365787907,0,Economy,27,4,9,8
Vistara,Delhi,Hyderabad,Mumbai-Kolkata,6606.337479938896,94.65175684219511,0,Economy,23,11,11,23
IndiGo,Delhi,Bangalore,Delhi-Hyderabad,6548.406191032163,75.02952118624796,0,Economy,3,12,1,3
SpiceJet,Delhi,Kolkata,Mumbai-Kolkata,7478.8870666371295,117.24465706995134,0,Economy,20,5,9,17
SpiceJet,Delhi,Kolkata,Mumbai-Chennai,5859.548843600627,117.37694013668457,0,Business,13,7,19,13
GoAir,Mumbai,Bangalore,Delhi-Mumbai,6534.923843806326,136.44958882663497,2,Economy,22,8,0,3
Vistara,Delhi,Bangalore,Mumbai-Chennai,6078.454031631156,148.48783714093466,2,Economy,3,5,3,9
Vistara,Mumbai,Chennai,Delhi-Mumbai,7036.697425490412,118.21754456182518,0,Business,28,9,12,2
GoAir,Delhi,Kolkata,Delhi-Mumbai,5424.934089913016,175.6650994438279,2,Economy,7,10,11,22
IndiGo,Mumbai,Kolkata,Delhi-Hyderabad,6596.004250301825,126.72704233605876,0,Economy,29,12,10,6
Vistara,Delhi,Chennai,Mumbai-Chennai,5844.2421631066545,109.60720481979301,0,Economy,6,4,9,9
SpiceJet,Delhi,Mumbai,Mumbai-Kolkata,5948.649458313202,71.65297922691516,1,Business,9,4,14,12
SpiceJet,Delhi,Chennai,Mumbai-Chennai,6073.401987558698,112.12021439051497,1,Economy,12,8,4,3
AirAsia,Mumbai,Hyderabad,Delhi-Hyderabad,6201.792317141342,109.90839163766591,2,Economy,15,1,16,17
Vistara,Mumbai,Kolkata,Delhi-Mumbai,5907.016765502433,148.8091438884441,0,Economy,21,8,4,10
IndiGo,Delhi,Bangalore,Delhi-Hyderabad,6171.770546536421,133.87450872200563,1,Economy,20,5,1,3
GoAir,Mumbai,Hyderabad,Delhi-Bangalore,7262.494446049747,84.61892635102149,0,Business,3,11,8,23
GoAir,Mumbai,Kolkata,Delhi-Bangalore,6788.359748492175,125.16763159233112,0,Economy,10,1,5,13
IndiGo,Delhi,Chennai,Mumbai-Kolkata,6695.323673997517,140.1459351518716,0,Economy,1,4,17,17
AirAsia,Delhi,Hyderabad,Delhi-Hyderabad,5635.568379180903,165.84094078163497,2,Business,19,2,13,7
GoAir,Mumbai,Kolkata,Mumbai-Kolkata,5288.60733741734,146.62511902242179,1,Economy,19,4,18,9
Vistara,Delhi,Mumbai,Mumbai-Kolkata,6764.240446590203,142.82539962934433,1,Economy,23,8,13,4
AirAsia,Delhi,Mumbai,Delhi-Bangalore,6700.837434023835,121.8025798384549,0,Economy,23,5,7,22
Vistara,Delhi,Bangalore,Mumbai-Kolkata,7178.136540600785,131.6493601627035,0,Economy,13,1,16,6
SpiceJet,Delhi,Kolkata,Delhi-Bangalore,5516.815499224616,157.48514702118476,0,Economy,31,7,2,11
AirAsia,Mumbai,Mumbai,Delhi-Mumbai,5816.361075711722,80.01667807561051,0,Business,12,1,9,2
GoAir,Mumbai,Chennai,Delhi-Hyderabad,4688.4126699796525,109.51682018349132,0,Economy,1,9,16,3
AirAsia,Mumbai,Kolkata,Mumbai-Kolkata,5686.023115151302,96.82293753731277,1,Economy,19,3,10,9
AirAsia,Delhi,Chennai,Delhi-Bangalore,6797.256408463558,131.3745935617837,0,Economy,29,12,7,3
AirAsia,Mumbai,Chennai,Mumbai-Chennai,5626.803696617441,156.90666526952361,0,Economy,24,3,0,14
AirAsia,Delhi,Mumbai,Mumbai-Kolkata,6512.383836160659,102.09077139836778,0,Economy,16,6,12,9
Vistara,Delhi,Kolkata,Delhi-Mumbai,5847.597515201751,60.0,0,Economy,25,10,20,20
SpiceJet,Delhi,Hyderabad,Delhi-Mumbai,6259.2456225772485,107.6333776492659,0,Business,23,6,3,21
IndiGo,Mumbai,Mumbai,Mumbai-Chennai,5081.846888147466,147.4042119605222,2,Economy,23,11,6,15
AirAsia,Delhi,Mumbai,Delhi-Bangalore,6068.167559707121,136.1288970884964,1,Economy,28,11,13,14
GoAir,Delhi,Kolkata,Mumbai-Kolkata,3607.0912232794212,132.84558743431728,1,Economy,15,6,4,18
AirAsia,Mumbai,Kolkata,Delhi-Bangalore,5850.483073470412,111.60020094376561,0,Business,16,1,23,19
GoAir,Delhi,Chennai,Delhi-Mumbai,4695.621405027888,81.6290779134064,0,Economy,11,5,10,18
Vistara,Delhi,Kolkata,Delhi-Bangalore,6964.795613237453,135.45882964873402,0,Economy,24,12,16,17
